client_id,group,error
934,test,missing_confirm
934,test,repeated:start
1028,control,missing_confirm
1028,control,went_back:step_3_to_step_1
1028,control,went_back:step_2_to_step_1
1028,control,repeated:step_1
1028,control,repeated:step_2
1104,control,missing_confirm
1104,control,repeated:start
1186,control,missing_confirm
1186,control,repeated:start
1197,control,went_back:step_3_to_step_2
1197,control,repeated:step_2
1197,control,repeated:step_3
1336,test,repeated:confirm
1346,test,missing_confirm
1346,test,went_back:step_1_to_start
1346,test,went_back:step_3_to_start
1346,test,repeated:start
1346,test,repeated:step_1
1346,test,repeated:step_3
1368,control,missing_confirm
1516,test,went_back:step_2_to_step_1
1516,test,went_back:step_2_to_start
1516,test,went_back:step_2_to_step_1
1516,test,went_back:step_1_to_start
1516,test,repeated:start
1516,test,repeated:step_1
1516,test,repeated:step_2
1643,test,went_back:step_1_to_start
1643,test,repeated:start
1643,test,repeated:step_1
1702,test,missing_start
1702,test,repeated:confirm
1755,test,went_back:step_3_to_start
1755,test,repeated:start
1755,test,repeated:step_1
1755,test,repeated:step_2
1755,test,repeated:step_3
1836,test,went_back:confirm_to_start
1836,test,went_back:step_1_to_start
1836,test,went_back:step_1_to_start
1836,test,repeated:start
1836,test,repeated:step_1
1836,test,repeated:confirm
1936,test,went_back:step_3_to_step_2
1936,test,repeated:start
1936,test,repeated:step_2
1936,test,repeated:step_3
2439,control,missing_confirm
2581,control,missing_confirm
2720,test,missing_confirm
2720,test,repeated:start
3647,control,missing_confirm
3647,control,went_back:step_3_to_start
3647,control,repeated:start
4484,test,repeated:start
4484,test,repeated:step_3
4603,test,repeated:confirm
4717,test,went_back:step_3_to_start
4717,test,repeated:start
4717,test,repeated:step_1
4717,test,repeated:step_2
4717,test,repeated:step_3
5354,control,went_back:confirm_to_start
5354,control,repeated:start
5354,control,repeated:step_1
5845,test,missing_confirm
5845,test,went_back:step_3_to_start
5845,test,repeated:start
5845,test,repeated:step_1
5845,test,repeated:step_2
5845,test,repeated:step_3
6022,test,missing_confirm
6022,test,went_back:step_1_to_start
6022,test,repeated:start
6150,test,missing_confirm
6977,control,repeated:start
6985,control,repeated:start
7020,control,went_back:step_3_to_step_2
7020,control,went_back:confirm_to_step_1
7020,control,went_back:step_1_to_start
7020,control,went_back:step_1_to_start
7020,control,repeated:start
7020,control,repeated:step_1
7020,control,repeated:step_2
7020,control,repeated:step_3
7561,test,missing_confirm
7561,test,went_back:step_1_to_start
7561,test,went_back:step_2_to_start
7561,test,repeated:start
7561,test,repeated:step_1
7567,control,repeated:start
7657,test,went_back:step_1_to_start
7657,test,repeated:start
7657,test,repeated:step_1
7934,test,missing_confirm
7934,test,went_back:step_1_to_start
7934,test,repeated:start
8023,test,missing_confirm
8039,control,missing_confirm
8124,control,missing_confirm
8610,test,missing_confirm
8610,test,repeated:start
8712,test,missing_confirm
8712,test,went_back:step_2_to_start
8712,test,repeated:start
8712,test,repeated:step_1
8712,test,repeated:step_2
9229,control,missing_confirm
9229,control,went_back:step_2_to_step_1
9229,control,went_back:step_1_to_start
9229,control,went_back:step_2_to_start
9229,control,repeated:start
9229,control,repeated:step_1
9229,control,repeated:step_2
9751,test,missing_confirm
9751,test,went_back:step_2_to_start
9751,test,went_back:step_2_to_step_1
9751,test,went_back:step_1_to_start
